DATE,CPI
12/1/1977,26.20065227
1/1/1978,26.36941654
2/1/1978,26.53818081
3/1/1978,26.74913614
4/1/1978,26.96009147
5/1/1978,27.21323787
6/1/1978,27.50857533
7/1/1978,27.71953067
8/1/1978,27.84610387
9/1/1978,28.0570592
10/1/1978,28.3102056
11/1/1978,28.4367788
12/1/1978,28.563352
1/1/1979,28.81649839
2/1/1979,29.15402693
3/1/1979,29.44936439
4/1/1979,29.78689292
5/1/1979,30.16661252
6/1/1979,30.50414105
7/1/1979,30.84166958
8/1/1979,31.13700705
9/1/1979,31.47453558
10/1/1979,31.72768198
11/1/1979,32.02301945
12/1/1979,32.36054798
1/1/1980,32.82464971
2/1/1980,33.28875144
3/1/1980,33.79504424
4/1/1980,34.17476384
5/1/1980,34.51229237
6/1/1980,34.89201197
7/1/1980,34.89201197
8/1/1980,35.14515836
9/1/1980,35.44049583
10/1/1980,35.77802436
11/1/1980,36.07336183
12/1/1980,36.41089036
1/1/1981,36.70622782
2/1/1981,37.08594742
3/1/1981,37.33909382
4/1/1981,37.59224022
5/1/1981,37.88757768
6/1/1981,38.22510622
7/1/1981,38.64701688
8/1/1981,38.94235435
9/1/1981,39.32207394
10/1/1981,39.40645608
11/1/1981,39.53302928
12/1/1981,39.65960248
1/1/1982,39.78617568
2/1/1982,39.91274887
3/1/1982,39.87055781
4/1/1982,40.03932207
5/1/1982,40.41904167
6/1/1982,40.92533447
7/1/1982,41.1362898
8/1/1982,41.22067193
9/1/1982,41.30505407
10/1/1982,41.43162727
11/1/1982,41.34724513
12/1/1982,41.17848087
1/1/1983,41.262863
2/1/1983,41.30505407
3/1/1983,41.30505407
4/1/1983,41.60039153
5/1/1983,41.85353793
6/1/1983,41.98011113
7/1/1983,42.1488754
8/1/1983,42.2754486
9/1/1983,42.48640393
10/1/1983,42.61297713
11/1/1983,42.69735926
12/1/1983,42.73955033
1/1/1984,42.99269673
2/1/1984,43.20365206
3/1/1984,43.28803419
4/1/1984,43.49898952
5/1/1984,43.62556272
6/1/1984,43.75213592
7/1/1984,43.92090019
8/1/1984,44.08966445
9/1/1984,44.30061979
10/1/1984,44.42719299
11/1/1984,44.42719299
12/1/1984,44.42719299
1/1/1985,44.51157512
2/1/1985,44.72253045
3/1/1985,44.89129472
4/1/1985,45.10225005
5/1/1985,45.27101432
6/1/1985,45.39758751
7/1/1985,45.48196965
8/1/1985,45.56635178
9/1/1985,45.69292498
10/1/1985,45.86168925
11/1/1985,45.98826245
12/1/1985,46.11483564
1/1/1986,46.24140884
2/1/1986,46.11483564
3/1/1986,45.90388031
4/1/1986,45.81949818
5/1/1986,45.94607138
6/1/1986,46.19921778
7/1/1986,46.19921778
8/1/1986,46.28359991
9/1/1986,46.49455524
10/1/1986,46.53674631
11/1/1986,46.57893738
12/1/1986,46.62112844
1/1/1987,46.91646591
2/1/1987,47.08523017
3/1/1987,47.29618551
4/1/1987,47.5493319
5/1/1987,47.71809617
6/1/1987,47.88686044
7/1/1987,48.01343364
8/1/1987,48.26658003
9/1/1987,48.51972643
10/1/1987,48.64629963
11/1/1987,48.6884907
12/1/1987,48.6884907
1/1/1988,48.8150639
2/1/1988,48.9416371
3/1/1988,49.15259243
4/1/1988,49.40573883
5/1/1988,49.57450309
6/1/1988,49.78545843
7/1/1988,49.99641376
8/1/1988,50.20736909
9/1/1988,50.54489762
10/1/1988,50.71366189
11/1/1988,50.75585296
12/1/1988,50.84023509
1/1/1989,51.09338149
2/1/1989,51.30433682
3/1/1989,51.59967428
4/1/1989,51.93720282
5/1/1989,52.23254028
6/1/1989,52.35911348
7/1/1989,52.48568668
8/1/1989,52.57006881
9/1/1989,52.73883308
10/1/1989,52.99197948
11/1/1989,53.11855268
12/1/1989,53.20293481
1/1/1990,53.75141867
2/1/1990,54.00456507
3/1/1990,54.29990254
4/1/1990,54.38428467
5/1/1990,54.51085787
6/1/1990,54.80619534
7/1/1990,55.01715067
8/1/1990,55.52344347
9/1/1990,55.9875452
10/1/1990,56.32507373
11/1/1990,56.45164693
12/1/1990,56.45164693
1/1/1991,56.78917546
2/1/1991,56.87355759
3/1/1991,56.95793973
4/1/1991,57.04232186
5/1/1991,57.21108612
6/1/1991,57.37985039
7/1/1991,57.46423252
8/1/1991,57.63299679
9/1/1991,57.88614319
10/1/1991,57.97052532
11/1/1991,58.13928959
12/1/1991,58.18148065
1/1/1992,58.26586279
2/1/1992,58.47681812
3/1/1992,58.77215558
